"GridID","area","ORIGFID","Depth","DistCoast","x.pos","y.pos","impact"
140096,0.25,43,-14.59,16492,442805.73,6137265.76,0
141096,0.25,44,-13.89,16047,443305.73,6137265.76,0
142096,0.25,45,-13.43,15605,443805.73,6137265.76,0
143096,0.25,46,-13.07,15167,444305.73,6137265.76,0
144096,0.25,47,-13.11,14733,444805.73,6137265.76,0
145096,0.25,48,-13.25,14301,445305.73,6137265.76,0
146096,0.25,49,-13.39,13872,445805.73,6137265.76,0
147096,0.25,50,-13.63,13447,446305.73,6137265.76,0
148096,0.25,51,-14.41,13028,446805.73,6137265.76,0
149096,0.25,52,-15.38,12614,447305.73,6137265.76,0
150096,0.25,53,-15.86,12204,447805.73,6137265.76,0
151096,0.25,54,-16.26,11802,448305.73,6137265.76,0
152096,0.25,55,-16.5,11407,448805.73,6137265.76,0
153096,0.25,56,-16.18,11021,449305.73,6137265.76,0
154096,0.25,57,-15.61,10645,449805.73,6137265.76,0
155096,0.25,58,-15.18,10279,450305.73,6137265.76,0
156096,0.25,59,-14.96,9924,450805.73,6137265.76,0
157096,0.25,60,-14.65,9583,451305.73,6137265.76,0
158096,0.25,61,-14.27,9254,451805.73,6137265.76,0
159096,0.25,62,-13.72,8941,452305.73,6137265.76,0
142095,0.25,108,-13.29,15374,443805.73,6137765.76,0
143095,0.25,109,-13,14929,444305.73,6137765.76,0
144095,0.25,110,-13.05,14488,444805.73,6137765.76,0
145095,0.25,111,-13.13,14050,445305.73,6137765.76,0
146095,0.25,112,-13.21,13617,445805.73,6137765.76,0
147095,0.25,113,-13.39,13185,446305.73,6137765.76,0
148095,0.25,114,-14.28,12758,446805.73,6137765.76,0
149095,0.25,115,-15.67,12336,447305.73,6137765.76,0
150095,0.25,116,-15.99,11919,447805.73,6137765.76,0
151095,0.25,117,-16.18,11507,448305.73,6137765.76,0
152095,0.25,118,-16.21,11102,448805.73,6137765.76,0
153095,0.25,119,-15.92,10705,449305.73,6137765.76,0
154095,0.25,120,-15.48,10317,449805.73,6137765.76,0
155095,0.25,121,-15.18,9939,450305.73,6137765.76,0
156095,0.25,122,-14.81,9572,450805.73,6137765.76,0
157095,0.25,123,-14.43,9217,451305.73,6137765.76,0
158095,0.25,124,-13.98,8877,451805.73,6137765.76,0
159095,0.25,125,-13.46,8550,452305.73,6137765.76,0
143094,0.25,172,-13.13,14704,444305.73,6138265.76,0
144094,0.25,173,-13.05,14256,444805.73,6138265.76,0
145094,0.25,174,-13.03,13811,445305.73,6138265.76,0
146094,0.25,175,-13.05,13370,445805.73,6138265.76,0
147094,0.25,176,-13.03,12934,446305.73,6138265.76,0
148094,0.25,177,-13.97,12501,446805.73,6138265.76,0
149094,0.25,178,-14.94,12070,447305.73,6138265.76,0
150094,0.25,179,-15.48,11645,447805.73,6138265.76,0
151094,0.25,180,-15.83,11226,448305.73,6138265.76,0
152094,0.25,181,-16.18,10811,448805.73,6138265.76,0
153094,0.25,182,-15.69,10403,449305.73,6138265.76,0
154094,0.25,183,-15.35,10003,449805.73,6138265.76,0
155094,0.25,184,-15.07,9613,450305.73,6138265.76,0
156094,0.25,185,-14.59,9233,450805.73,6138265.76,0
157094,0.25,186,-13.92,8865,451305.73,6138265.76,0
158094,0.25,187,-13.28,8510,451805.73,6138265.76,0
159094,0.25,188,-13.02,8171,452305.73,6138265.76,0
144093,0.25,255,-13.23,14038,444805.73,6138765.76,0
145093,0.25,256,-13.04,13586,445305.73,6138765.76,0
146093,0.25,257,-13.22,13138,445805.73,6138765.76,0
147093,0.25,258,-13.68,12693,446305.73,6138765.76,0
148093,0.25,259,-14.16,12253,446805.73,6138765.76,0
149093,0.25,260,-14.79,11818,447305.73,6138765.76,0
150093,0.25,261,-15.17,11385,447805.73,6138765.76,0
151093,0.25,262,-15.68,10956,448305.73,6138765.76,0
152093,0.25,263,-15.85,10533,448805.73,6138765.76,0
153093,0.25,264,-15.48,10117,449305.73,6138765.76,0
154093,0.25,265,-15.25,9705,449805.73,6138765.76,0
155093,0.25,266,-14.77,9302,450305.73,6138765.76,0
156093,0.25,267,-14.19,8909,450805.73,6138765.76,0
